Item,Function,Quantity,Description,PartNumber,Vendor
1,POWER,1,AC/DC DESKTOP ADAPTER 12V 60W,T1200-P5P-ND,digikey
2,POWER,1,LINE CORD 3 COND US,993-1039-ND,digikey
3,STANDOFF,4,ROUND STANDOFF 4-40 ALUM 1/2,36-2027-ND,digikey
4,STANDOFF,4,WASHER FLAT 4 NYLON,36-3348-ND,digikey
